Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
03-OCT-2019,508996,0.67,0.67,0.0000,0.0141,0.0137,0.2617
03-OCT-2019,509003,0.12,0.12,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,509015,8.25,8.25,0.0000,0.0106,0.0103,0.1968
03-OCT-2019,509026,68.75,65.50,0.0484,0.0139,0.0180,0.3439
03-OCT-2019,509038,19.55,19.55,0.0000,0.0000,0.0000,0.0000
03-OCT-2019,509040,12.75,12.75,0.0000,0.0328,0.0318,0.6075
03-OCT-2019,509048,8.01,8.19,-0.0222,0.0717,0.0697,1.3316
03-OCT-2019,509051,0.19,0.19,0.0000,0.0345,0.0334,0.6381
03-OCT-2019,509053,8.03,8.45,-0.0510,0.0347,0.0359,0.6859
03-OCT-2019,509073,4.72,4.72,0.0000,0.0207,0.0201,0.3840
03-OCT-2019,509084,54.15,54.15,0.0000,0.0105,0.0102,0.1949
03-OCT-2019,509148,1.18,1.18,0.0000,0.0381,0.0369,0.7050
