Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-Oct-19,RFHL,10.3,10.3,0,0,0,0
01-Oct-19,RFLL,8,8,0,0,0,0
01-Oct-19,RGL,259.65,254.55,0.0198,0.0307,0.0302,0.577
01-Oct-19,RHFL,3.65,3.85,-0.0533,0.0387,0.0397,0.7585
01-Oct-19,RICOAUTO,41.85,44.15,-0.0535,0.0542,0.0542,1.0355
01-Oct-19,RIIL,251.55,263.25,-0.0455,0.03,0.0311,0.5942
01-Oct-19,RISHABHENT,10,10,0,0,0,0
01-Oct-19,RITES,264.2,265.45,-0.0047,0.0282,0.0274,0.5235
01-Oct-19,RITMAN,10,10,0,0,0,0
01-Oct-19,RITZ,15.25,15.25,0,0,0,0
01-Oct-19,RKDL,6.6,6.3,0.0465,0.0369,0.0375,0.7164
01-Oct-19,RKFORGE,296.8,312.05,-0.0501,0.0338,0.035,0.6687
01-Oct-19,RKMAN,299.3,299.3,0,0.0016,0.0016,0.0306
01-Oct-19,RMCL,3.75,3.75,0,0.0392,0.038,0.726
01-Oct-19,RML,276.05,276.1,-0.0002,0.0437,0.0424,0.8101
01-Oct-19,RNAM,265.7,260.3,0.0205,0.0361,0.0354,0.6763
01-Oct-19,RNAVAL,1.7,1.65,0.0299,0.0719,0.0701,1.3393
01-Oct-19,ROADWAYS,10,10,0,0,0,0
01-Oct-19,ROBERT,10.7,10.7,0,0,0,0
01-Oct-19,ROHITFERRO,0.9,0.9,0,0.0767,0.0744,1.4214
01-Oct-19,ROHLTD,83.75,88.75,-0.058,0.0553,0.0555,1.0603
01-Oct-19,ROLLT,2.1,2.25,-0.069,0.0518,0.053,1.0126
01-Oct-19,ROLTA,5,5.1,-0.0198,0.0343,0.0336,0.6419
01-Oct-19,ROSSELLIND,50.25,55.1,-0.0921,0.0382,0.0434,0.8292
01-Oct-19,RPGLIFE,195.7,204.9,-0.0459,0.0431,0.0433,0.8272
01-Oct-19,RPOWER,2.55,2.2,0.1476,0.0506,0.0609,1.1635
01-Oct-19,RPPINFRA,97.2,96,0.0124,0.0404,0.0393,0.7508
01-Oct-19,RRCSL,10,10,0,0,0,0
01-Oct-19,RRSLGETF,20.02,19.96,0.003,0.0036,0.0036,0.0688
01-Oct-19,RSSOFTWARE,18.75,18.95,-0.0106,0.0436,0.0424,0.8101
01-Oct-19,RSWM,105.25,108.8,-0.0332,0.0271,0.0275,0.5254
01-Oct-19,RSYSTEMS,39.9,39.8,0.0025,0.0194,0.0188,0.3592
01-Oct-19,RTNINFRA,1.8,1.85,-0.0274,0.0677,0.066,1.2609
01-Oct-19,RTNPOWER,1.4,1.5,-0.069,0.0582,0.0589,1.1253
01-Oct-19,RUBYMILLS,210.4,215.2,-0.0226,0.0553,0.0539,1.0298
01-Oct-19,RUCHINFRA,2.1,2.25,-0.069,0.0378,0.0404,0.7718
01-Oct-19,RUCHIRA,98.05,106.4,-0.0817,0.0421,0.0455,0.8693
01-Oct-19,RUCHISOYA,3.45,3.5,-0.0144,0.0419,0.0408,0.7795
01-Oct-19,RUPA,169.8,175.45,-0.0327,0.0339,0.0338,0.6457
01-Oct-19,RUSHIL,131.9,138.8,-0.051,0.0358,0.0369,0.705
01-Oct-19,RVNL,23.8,24.1,-0.0125,0.0299,0.0292,0.5579
01-Oct-19,RWCL,1.25,1.25,0,0,0,0
01-Oct-19,SAANVI,10,10,0,0,0,0
01-Oct-19,SABEVENTS,0.9,0.9,0,0.0749,0.0726,1.387
01-Oct-19,SABTN,2.4,2.6,-0.08,0.0632,0.0643,1.2284
01-Oct-19,SADBHAV,135.35,141.65,-0.0455,0.0315,0.0325,0.6209
01-Oct-19,SADBHIN,39.7,40.45,-0.0187,0.0421,0.0411,0.7852
01-Oct-19,SAFARI,579.55,592.1,-0.0214,0.0152,0.0156,0.298
01-Oct-19,SAGARDEEP,46.25,45.4,0.0185,0.0289,0.0284,0.5426
01-Oct-19,SAGCEM,612.1,612.7,-0.001,0.0435,0.0422,0.8062
01-Oct-19,SAIL,32.1,33.45,-0.0412,0.0336,0.0341,0.6515
01-Oct-19,SAKAR,47.85,48.15,-0.0063,0.0263,0.0255,0.4872
01-Oct-19,SAKHTISUG,8.45,8.75,-0.0349,0.0274,0.0279,0.533
01-Oct-19,SAKSOFT,243.35,250.95,-0.0308,0.0207,0.0214,0.4088
01-Oct-19,SAKUMA,8.35,8.75,-0.0468,0.0407,0.0411,0.7852
